id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing
1644,1786622991,2026-08-13T12:09:51+00:00,ELSAUSDT,LONG,bb_squeeze,0.05173,0.05103811881188119,0.05311376237623762,sl_first,1786689000,2026-08-14T06:30:00+00:00,-1.0,stop_touch,no,,,2.1419,below_50%,sl,1786689201,0.05088
1645,1786623002,2026-08-13T12:10:02+00:00,TXNUSDT,SHORT,bb_squeeze,276.3,278.1485148514852,272.60297029702974,sl_first,1786628700,2026-08-13T13:45:00+00:00,-1.0,stop_touch,no,,,4.8516,below_50%,sl,1786628434,279.6
1646,1786623240,2026-08-13T12:14:00+00:00,OPENAIUSDT,LONG,bb_squeeze,1172.03,1165.0341584158416,1186.0216831683167,sl_first,1786626900,2026-08-13T13:15:00+00:00,-1.0,stop_touch,no,,,2.0527,below_50%,tp,1786635990,1191.47
1647,1786623270,2026-08-13T12:14:30+00:00,EPICUSDT,SHORT,bb_squeeze,0.3271,0.3635475247524752,0.25420495049504954,sl_first,1786647600,2026-08-13T19:00:00+00:00,-1.0,stop_touch,no,,,15.8222,below_50%,sl,1786647269,0.3647
1648,1786623292,2026-08-13T12:14:52+00:00,B2USDT,LONG,ema_cross,0.4841,0.4706862068965517,0.5109275862068965,sl_first,1786649400,2026-08-13T19:30:00+00:00,-1.0,stop_touch,no,,,4.8048,below_50%,sl,1786649546,0.4706862068965517
1649,1786623324,2026-08-13T12:15:24+00:00,ZHIPUUSDT,LONG,ema_cross,167.3,162.79068965517243,176.31862068965518,tp_first,1786671900,2026-08-14T01:45:00+00:00,2.0,target_touch,no,,,9.5643,below_50%,tp,1786683796,176.31862068965518
1650,1786623342,2026-08-13T12:15:42+00:00,GPSUSDT,LONG,ema_cross,0.011161,0.010899931034482759,0.011683137931034484,tp_first,1786629600,2026-08-13T14:00:00+00:00,1.9999999999999933,target_touch,no,,,26.0152,below_50%,sl,1786634280,0.010802
1651,1786623403,2026-08-13T12:16:43+00:00,CLOUSDT,SHORT,ema_cross,0.10946,0.11667172413793103,0.09503655172413794,sl_first,1786675500,2026-08-14T02:45:00+00:00,-1.0,stop_touch,no,,,12.0324,below_50%,sl,1786684124,0.11685
1652,1786623455,2026-08-13T12:17:35+00:00,BANKUSDT,LONG,ema_cross,0.04354,0.04105275862068966,0.04851448275862069,sl_first,1786626900,2026-08-13T13:15:00+00:00,-1.0,stop_touch,no,,,32.1155,below_50%,sl,1786626661,0.04105275862068966
1653,1786623554,2026-08-13T12:19:14+00:00,BUSDT,LONG,ema_cross,0.1646,0.15816896551724138,0.17746206896551725,sl_first,1786624200,2026-08-13T12:30:00+00:00,-1.0,stop_touch,no,,,12.2783,below_50%,sl,1786623994,0.1573
1655,1786623976,2026-08-13T12:26:16+00:00,DRIFTUSDT,SHORT,bb_squeeze,0.01119,0.01139,0.010790000000000001,unresolved,1786710600,2026-08-14T12:30:00+00:00,1.5499999999999936,window_close,no,,,4.9729,below_50%,sl,1786810084,0.01146
1656,1786625376,2026-08-13T12:49:36+00:00,JPMUSDT,LONG,bb_squeeze,367.68,366.300198019802,370.439603960396,sl_first,1786628700,2026-08-13T13:45:00+00:00,-1.0,stop_touch,no,,,1.8109,below_50%,sl,1786628434,364.87
1659,1786626313,2026-08-13T13:05:13+00:00,MAGMAUSDT,SHORT,bb_squeeze,0.18548,0.19033,0.17578000000000002,sl_first,1786689000,2026-08-14T06:30:00+00:00,-1.0,stop_touch,no,,,8.5077,below_50%,sl,1786689201,0.19042
1660,1786626375,2026-08-13T13:06:15+00:00,ASTSUSDT,SHORT,bb_squeeze,73.32,74.15722772277228,71.64554455445544,sl_first,1786628700,2026-08-13T13:45:00+00:00,-1.0,stop_touch,no,,,4.7254,below_50%,sl,1786628434,74.93
1661,1786626399,2026-08-13T13:06:39+00:00,RDWUSDT,SHORT,bb_squeeze,13.139,13.308762376237624,12.799475247524752,sl_first,1786628700,2026-08-13T13:45:00+00:00,-1.0,stop_touch,no,,,5.4308,below_50%,sl,1786629166,13.401
1662,1786626422,2026-08-13T13:07:02+00:00,HOODXUSDT,LONG,bb_squeeze,95.73,95.15475247524753,96.88049504950496,tp_first,1786628700,2026-08-13T13:45:00+00:00,2.000000000000025,target_touch,no,,,3.9104,below_50%,tp,1786628434,98.2
1663,1786626462,2026-08-13T13:07:42+00:00,UBERUSDT,LONG,bb_squeeze,76.0,75.42435643564356,77.15128712871287,sl_first,1786628700,2026-08-13T13:45:00+00:00,-1.0,stop_touch,no,,,4.8957,below_50%,sl,1786627983,75.0
1664,1786626513,2026-08-13T13:08:33+00:00,ALGOUSDT,LONG,bb_squeeze,0.08013,0.07949574257425743,0.08139851485148515,sl_first,1786626900,2026-08-13T13:15:00+00:00,-1.0,stop_touch,no,,,2.8279,below_50%,sl,1786628434,0.07949574257425743
1665,1786626565,2026-08-13T13:09:25+00:00,TERUSDT,SHORT,bb_squeeze,400.7,404.2158415841584,393.66831683168317,sl_first,1786628700,2026-08-13T13:45:00+00:00,-1.0,stop_touch,no,,,3.8315,below_50%,sl,1786628434,404.2158415841584
1668,1786629604,2026-08-13T14:00:04+00:00,IONQUSDT,LONG,bb_squeeze,46.75,46.26970297029703,47.71059405940594,tp_first,1786631400,2026-08-13T14:30:00+00:00,2.0000000000000147,target_touch,no,,,9.3707,below_50%,tp,1786631783,47.76
1670,1786630522,2026-08-13T14:15:22+00:00,SPCXUSDT,SHORT,bb_squeeze,142.5,144.12772277227722,139.24455445544555,sl_first,1786649400,2026-08-13T19:30:00+00:00,-1.0,stop_touch,no,,,8.4108,below_50%,sl,1786649546,144.12772277227722
1671,1786630526,2026-08-13T14:15:26+00:00,TSMUSDT,LONG,bb_squeeze,434.75,432.92742574257426,438.3951485148515,sl_first,1786634100,2026-08-13T15:15:00+00:00,-1.0,stop_touch,no,,,2.2262,below_50%,sl,1786634704,432.92742574257426
1672,1786630579,2026-08-13T14:16:19+00:00,INTCUSDT,LONG,bb_squeeze,105.98,105.07990099009902,107.78019801980199,sl_first,1786631400,2026-08-13T14:30:00+00:00,-1.0,stop_touch,no,,,5.9821,below_50%,sl,1786631270,105.07990099009902
1673,1786630582,2026-08-13T14:16:22+00:00,IWMUSDT,LONG,bb_squeeze,304.49,303.3849504950495,306.700099009901,sl_first,1786635000,2026-08-13T15:30:00+00:00,-1.0,stop_touch,no,,,1.4759,below_50%,sl,1786635117,302.86
1674,1786630584,2026-08-13T14:16:24+00:00,BANANAUSDT,SHORT,bb_squeeze,3.688,3.728762376237624,3.606475247524753,tp_first,1786639500,2026-08-13T16:45:00+00:00,2.0,target_touch,no,,,8.0272,below_50%,tp,1786639702,3.59
1675,1786630638,2026-08-13T14:17:18+00:00,CRCLXUSDT,LONG,bb_squeeze,72.36,71.7580198019802,73.5639603960396,sl_first,1786633200,2026-08-13T15:00:00+00:00,-1.0,stop_touch,no,,,5.9812,below_50%,sl,1786633897,71.59
1676,1786630691,2026-08-13T14:18:11+00:00,USARUSDT,LONG,bb_squeeze,18.82,18.562673267326733,19.334653465346534,sl_first,1786636800,2026-08-13T16:00:00+00:00,-1.0,stop_touch,no,,,6.0773,below_50%,sl,1786636368,18.562673267326733
1677,1786630698,2026-08-13T14:18:18+00:00,TAOUSDT,LONG,bb_squeeze,201.2,199.33465346534652,204.93069306930693,sl_first,1786639500,2026-08-13T16:45:00+00:00,-1.0,stop_touch,no,,,2.4365,below_50%,sl,1786639702,198.1
1678,1786630733,2026-08-13T14:18:53+00:00,NAS100USDT,LONG,bb_squeeze,30050.35,29983.019603960394,30185.010792079207,sl_first,1786635900,2026-08-13T15:45:00+00:00,-1.0,stop_touch,no,,,1.4049,below_50%,sl,1786636821,29983.019603960394
1679,1786630742,2026-08-13T14:19:02+00:00,INTWUSDT,LONG,bb_squeeze,26.26,25.807623762376238,27.164752475247525,sl_first,1786631400,2026-08-13T14:30:00+00:00,-1.0,stop_touch,no,,,12.2284,below_50%,sl,1786631270,25.8
1680,1786630749,2026-08-13T14:19:09+00:00,MSTRXUSDT,LONG,bb_squeeze,97.0,96.24960396039604,98.50079207920793,tp_first,1786631400,2026-08-13T14:30:00+00:00,2.000000000000019,target_touch,no,,,3.7916,below_50%,tp,1786631270,98.50079207920793
1681,1786630768,2026-08-13T14:19:28+00:00,COINXUSDT,LONG,bb_squeeze,150.95,150.07405940594057,152.7018811881188,sl_first,1786633200,2026-08-13T15:00:00+00:00,-1.0,stop_touch,no,,,3.6476,below_50%,sl,1786633023,149.62
