id,ts_open,ts_open_utc,symbol,direction,alert_type,strategy,is_shadow,status,ts_close,ts_close_utc,entry_price,sl_price,tp_price,exit_price,result_r,outcome,btc_candle_ts,btc_candle_ts_utc,btc_close,btc_ema50,trend_regime,regime_reason
1550,1786546543,2026-08-12T14:55:43+00:00,WENUSDT,LONG,overheated_24h,overheated_24h,1,sl,1786547425,2026-08-12T15:10:25+00:00,9.06,8.8335,9.422400000000001,8.498,-2.481236203090516,loss,1786521600,2026-08-12T08:00:00+00:00,64207.3,64300.64207764536,bear,close_vs_ema50
1551,1786546556,2026-08-12T14:55:56+00:00,BSPUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786628434,2026-08-13T13:40:34+00:00,48.07,44.21645682629074,55.777086347418525,43.48,-1.1911116064081508,loss,1786521600,2026-08-12T08:00:00+00:00,64207.3,64300.64207764536,bear,close_vs_ema50
1552,1786546701,2026-08-12T14:58:21+00:00,HUMAUSDT,SHORT,confluence,confluence,1,sl,1786810084,2026-08-15T16:08:04+00:00,0.02022,0.021208168565284093,0.01824366286943181,0.02155,-1.3459242144761314,loss,1786521600,2026-08-12T08:00:00+00:00,64207.3,64300.64207764536,bear,close_vs_ema50
1555,1786547772,2026-08-12T15:16:12+00:00,SKDDUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786594225,2026-08-13T04:10:25+00:00,12.159,11.855025000000001,12.645360000000002,11.685,-1.559338761411304,loss,1786521600,2026-08-12T08:00:00+00:00,64207.3,64300.64207764536,bear,close_vs_ema50
1556,1786552106,2026-08-12T16:28:26+00:00,TAKEUSDT,LONG,oversold_24h,oversold_24h,0,tp,1786595699,2026-08-13T04:34:59+00:00,0.04274,0.0416715,0.0444496,0.04517,2.2742161909218543,win,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1557,1786552735,2026-08-12T16:38:55+00:00,BRUSDT,SHORT,pump_24h_fade,pump_24h_fade,1,sl,1786632637,2026-08-13T14:50:37+00:00,0.20822,0.23945299999999997,0.166576,0.25228,-1.4106874139531917,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1558,1786552735,2026-08-12T16:38:55+00:00,APRUSDT,SHORT,pump_24h_fade,pump_24h_fade,1,sl,1786569532,2026-08-12T21:18:52+00:00,0.42903,0.4933845,0.34322400000000003,0.4933845,-1.0,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1559,1786556016,2026-08-12T17:33:36+00:00,AVAAIUSDT,SHORT,pump_24h_fade,pump_24h_fade,1,sl,1786614447,2026-08-13T09:47:27+00:00,0.011186,0.012467662038832664,0.008622675922334672,0.012805,-1.2632035208552979,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1560,1786556016,2026-08-12T17:33:36+00:00,COTIUSDT,SHORT,pump_24h_fade,pump_24h_fade,1,tp,1786596621,2026-08-13T04:50:21+00:00,0.01367,0.01476998633607192,0.011470027327856158,0.01139,2.0727530199528994,win,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
1561,1786557221,2026-08-12T17:53:41+00:00,NBISUSDT,SHORT,pump_24h_fade,pump_24h_fade,1,sl,1786628434,2026-08-13T13:40:34+00:00,250.12,265.21088552043335,219.9382289591333,270.02,-1.3186767584350831,loss,1786536000,2026-08-12T12:00:00+00:00,63423.4,64266.24042754162,bear,close_vs_ema50
