id,strategy,symbol,direction,is_shadow,activation_threshold,activation_r,step_pct,range_pct,baseline_r,baseline_outcome,alt_r,alt_outcome,trail_ts,trail_price,activated,coverage_error
669,oversold_24h,BSBUSDT,LONG,0,+0.5R,0.5,2.0,18.610439482292705,-1.0,sl,0.17779651489600398,trail_stop,1786314900,0.14295259999999999,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.5R,0.5,3.0,18.610439482292705,-1.0,sl,-0.23218100056211213,trail_stop,1786318200,0.1414939,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.5R,0.5,4.0,18.610439482292705,-1.0,sl,-0.6421585160202361,trail_stop,1786320000,0.1400352,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.5R,0.5,5.0,18.610439482292705,-1.0,sl,-1.0,trail_stop,1786328700,0.138762,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.5R,0.5,6.0,18.610439482292705,-1.0,sl,-1.0,trail_stop,1786328700,0.138762,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.5R,0.5,8.0,18.610439482292705,-1.0,sl,-1.0,trail_stop,1786328700,0.138762,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.5R,0.5,10.0,18.610439482292705,-1.0,sl,-1.0,trail_stop,1786328700,0.138762,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.75R,0.75,2.0,18.610439482292705,-1.0,sl,0.17779651489600398,trail_stop,1786314900,0.14295259999999999,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.75R,0.75,3.0,18.610439482292705,-1.0,sl,-0.23218100056211213,trail_stop,1786318200,0.1414939,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.75R,0.75,4.0,18.610439482292705,-1.0,sl,-0.6421585160202361,trail_stop,1786320000,0.1400352,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.75R,0.75,5.0,18.610439482292705,-1.0,sl,-1.0,trail_stop,1786328700,0.138762,True,
669,oversold_24h,BSBUSDT,LONG,0,+0.75R,0.75,6.0,18.610439482292705,-1.0,sl,-1.0,trail_stop,1786328700,0.138762,True,
