strategy,activation_threshold,step_pct,n,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_negative_n,activated_n,trail_exit_n,baseline_2r_to_alt_loss_n,baseline_sl_to_alt_positive_n
ema_cross_confirmed,+0.3R,3.0,129,88.5,61.29459,-27.20541,0.686047,0.475152,-0.210895,56.5891,63.5659,82,47,104,67,13,22
ema_cross_confirmed,+0.3R,4.0,129,88.5,94.134972,5.634972,0.686047,0.729728,0.043682,56.5891,66.6667,86,43,104,48,7,20
ema_cross_confirmed,+0.3R,5.0,129,88.5,101.33535,12.83535,0.686047,0.785545,0.099499,56.5891,65.1163,84,45,104,42,5,17
ema_cross_confirmed,+0.3R,6.0,129,88.5,107.963883,19.463883,0.686047,0.836929,0.150883,56.5891,63.5659,82,47,104,36,3,13
ema_cross_confirmed,+0.3R,8.0,129,88.5,101.917547,13.417547,0.686047,0.790059,0.104012,56.5891,62.0155,80,49,104,35,3,11
ema_cross_confirmed,+0.3R,10.0,129,88.5,102.967314,14.467314,0.686047,0.798196,0.11215,56.5891,59.6899,77,52,104,31,3,7
ema_cross_confirmed,+0.5R,2.0,129,88.5,41.853095,-46.646905,0.686047,0.324443,-0.361604,56.5891,68.9922,89,40,96,73,6,22
ema_cross_confirmed,+0.5R,3.0,129,88.5,57.607513,-30.892487,0.686047,0.44657,-0.239477,56.5891,63.5659,82,47,96,59,13,22
ema_cross_confirmed,+0.5R,4.0,129,88.5,90.658154,2.158154,0.686047,0.702776,0.01673,56.5891,67.4419,87,42,96,40,5,19
ema_cross_confirmed,+0.5R,5.0,129,88.5,97.487794,8.987794,0.686047,0.755719,0.069673,56.5891,66.6667,86,43,96,34,4,18
ema_cross_confirmed,+0.5R,6.0,129,88.5,105.17091,16.67091,0.686047,0.815278,0.129232,56.5891,65.1163,84,45,96,28,2,14
ema_cross_confirmed,+0.5R,8.0,129,88.5,99.145028,10.645028,0.686047,0.768566,0.08252,56.5891,62.0155,80,49,96,27,3,11
ema_cross_confirmed,+0.5R,10.0,129,88.5,101.117489,12.617489,0.686047,0.783857,0.09781,56.5891,59.6899,77,52,96,23,3,7
ema_cross_confirmed,+0.75R,2.0,129,88.5,55.211849,-33.288151,0.686047,0.427999,-0.258048,56.5891,68.9922,89,40,89,62,3,19
ema_cross_confirmed,+0.75R,3.0,129,88.5,72.147667,-16.352333,0.686047,0.559284,-0.126762,56.5891,65.8915,85,44,89,46,7,19
ema_cross_confirmed,+0.75R,4.0,129,88.5,93.060597,4.560597,0.686047,0.7214,0.035353,56.5891,66.6667,86,43,89,31,4,17
ema_cross_confirmed,+0.75R,5.0,129,88.5,98.437454,9.937454,0.686047,0.763081,0.077035,56.5891,67.4419,87,42,89,26,2,16
ema_cross_confirmed,+0.75R,6.0,129,88.5,102.724803,14.224803,0.686047,0.796316,0.11027,56.5891,64.3411,83,46,89,21,2,12
ema_cross_confirmed,+0.75R,8.0,129,88.5,98.192192,9.692192,0.686047,0.76118,0.075133,56.5891,62.0155,80,49,89,20,3,10
