tracker_id,source_demo_id,ts_open_utc,source_ts_close_utc,shadow_ts_close_utc,symbol,strategy,direction,source_is_shadow,entry_price,initial_sl_price,tp_price,step_pct,activation_label,activated,shadow_outcome,shadow_exit_method,baseline_outcome,baseline_r,shadow_r,delta_r
134,6247,2026-08-29T05:01:28+00:00,2026-08-29T07:42:36+00:00,2026-08-29T07:42:36+00:00,BEATUSDT,overheated_24h,LONG,1,0.138,0.12786964285714286,0.15826071428571428,8.0,+0.5R,1,tp,live_price,tp,2.00387802,2.00387802,0.0
140,6299,2026-08-29T08:15:55+00:00,2026-08-29T09:56:43+00:00,2026-08-29T09:56:43+00:00,KNCUSDT,ema_cross_confirmed,LONG,1,0.1249,0.12153793103448275,0.1316241379310345,6.0,any_profit,1,trail_stop,live_price,sl,-1.48717949,-1.48717949,0.0
143,6312,2026-08-29T09:20:11+00:00,2026-08-29T09:45:59+00:00,2026-08-29T09:45:59+00:00,BEATUSDT,overheated_24h,LONG,1,0.1577,0.147125,0.17885,8.0,+0.5R,0,sl,live_price,sl,-1.09692671,-1.09692671,0.0
144,6330,2026-08-29T10:35:00+00:00,2026-08-30T05:46:08+00:00,2026-08-29T17:36:58+00:00,COLLECTUSDT,overheated_24h,LONG,1,0.07154,0.06534607142857143,0.08392785714285715,8.0,+0.5R,1,trail_stop,live_price,sl,-1.57089316,-0.11785735,1.45303581
145,6331,2026-08-29T10:40:11+00:00,2026-08-29T12:06:52+00:00,2026-08-29T12:06:52+00:00,USUSDT,overheated_24h,LONG,1,0.020184,0.018596035714285714,0.023359928571428573,8.0,+0.5R,0,sl,live_price,sl,-1.17760835,-1.17760835,0.0
147,6347,2026-08-29T11:45:50+00:00,2026-08-29T17:11:27+00:00,2026-08-29T17:11:27+00:00,HNTUSDT,overheated_24h,LONG,1,0.3859,0.36169107142857143,0.43431785714285714,8.0,+0.5R,1,trail_stop,live_price,sl,-1.73902781,-1.73902781,0.0
150,6388,2026-08-29T13:39:11+00:00,2026-08-29T17:36:58+00:00,2026-08-30T05:46:08+00:00,NILUSDT,overheated_24h,LONG,1,0.05697,0.053777678571428573,0.06335464285714286,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.15903116,-0.15903116
153,6400,2026-08-29T17:17:02+00:00,2026-08-29T23:06:48+00:00,2026-08-29T23:06:48+00:00,BROCCOLIUSDT,overheated_24h,LONG,1,0.01995,0.018909642857142858,0.022030714285714285,8.0,+0.5R,0,sl,live_price,sl,-1.01888088,-1.01888088,0.0
160,6471,2026-08-29T20:45:26+00:00,2026-08-29T23:06:48+00:00,2026-08-29T23:06:48+00:00,BROCCOLIUSDT,ema_cross_confirmed,LONG,1,0.01996,0.018918793103448274,0.022042413793103448,6.0,any_profit,1,trail_stop,live_price,sl,-1.02765359,-1.02765359,0.0
163,6495,2026-08-29T23:00:14+00:00,2026-08-30T05:46:08+00:00,2026-08-30T05:46:08+00:00,SKRUSDT,overheated_24h,LONG,1,0.010649,0.009743535714285715,0.012459928571428571,8.0,+0.5R,1,tp,live_price,tp,3.71632548,3.71632548,0.0
