tracker_id,source_demo_id,ts_open_utc,source_ts_close_utc,shadow_ts_close_utc,symbol,strategy,direction,source_is_shadow,entry_price,initial_sl_price,tp_price,step_pct,activation_label,activated,shadow_outcome,shadow_exit_method,baseline_outcome,baseline_r,shadow_r,delta_r
13,5168,2026-08-27T12:11:10+00:00,2026-08-28T08:51:49+00:00,2026-08-28T02:12:01+00:00,CLOUSDT,overheated_24h,LONG,1,0.10432,0.09560232142857142,0.12175535714285714,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0,0.02753026,1.02753026
14,5177,2026-08-27T12:28:00+00:00,2026-08-28T02:28:21+00:00,2026-08-28T02:29:51+00:00,CROUSDT,ema_cross_confirmed,LONG,1,0.0618,0.05933275862068966,0.06673448275862068,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-1.00517121,-0.00517121
17,5195,2026-08-27T13:30:25+00:00,2026-08-28T16:22:00+00:00,2026-08-28T16:25:17+00:00,LINKUSDT,ema_cross_confirmed,LONG,1,11.797,11.369189655172415,12.652620689655173,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-1.09394269,-0.09394269
18,5196,2026-08-27T13:30:32+00:00,2026-08-28T00:35:56+00:00,2026-08-28T00:35:56+00:00,FIIUSDT,ema_cross_confirmed,LONG,1,9.716,9.512982758620689,10.12203448275862,6.0,any_profit,0,sl,live_price,sl,-1.06394904,-1.06394904,0.0
19,5201,2026-08-27T13:45:08+00:00,2026-08-27T13:58:03+00:00,2026-08-27T13:58:03+00:00,INTWUSDT,ema_cross_confirmed,LONG,1,19.02,18.23896551724138,20.58206896551724,6.0,any_profit,1,trail_stop,live_price,sl,-1.06269316,-1.06269316,0.0
20,5202,2026-08-27T13:46:57+00:00,2026-08-29T17:11:27+00:00,2026-08-28T16:02:19+00:00,GIGGLEUSDT,ema_cross_confirmed,LONG,1,36.61,34.486724137931034,40.85655172413793,6.0,any_profit,1,trail_stop,live_price,tp,2.65156313,-0.15542022,-2.80698335
21,5203,2026-08-27T13:56:23+00:00,2026-08-28T00:44:20+00:00,2026-08-28T00:44:20+00:00,4USDT,overheated_24h,LONG,1,0.0126,0.011819357142857144,0.014161285714285713,8.0,+0.5R,1,tp,live_price,tp,2.18537835,2.18537835,0.0
23,5205,2026-08-27T14:00:40+00:00,2026-08-28T08:47:06+00:00,2026-08-28T08:47:06+00:00,KERNELUSDT,ema_cross_confirmed,LONG,1,0.04004,0.037859827586206894,0.04440034482758621,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-0.99992092,7.908e-05
24,5211,2026-08-27T14:06:17+00:00,2026-08-28T02:47:08+00:00,2026-08-27T17:18:37+00:00,MOVRUSDT,overheated_24h,LONG,1,0.986,0.9101964285714286,1.1376071428571428,8.0,+0.5R,1,trail_stop,live_price,tp,2.0,-0.19787986,-2.19787986
25,5214,2026-08-27T14:11:02+00:00,2026-08-27T23:16:26+00:00,2026-08-28T00:35:56+00:00,BLESSUSDT,overheated_24h,LONG,1,0.011106,0.010282125,0.01275375,8.0,+0.5R,1,trail_stop,live_price,tp,2.0,0.68214232,-1.31785768
26,5215,2026-08-27T14:11:06+00:00,2026-08-28T13:38:25+00:00,2026-08-28T13:39:16+00:00,CRMUSDT,overheated_24h,LONG,1,245.45,239.6342857142857,257.08142857142855,8.0,+0.5R,1,tp,live_price,tp,2.0,2.01179071,0.01179071
27,5228,2026-08-27T14:46:04+00:00,2026-08-28T02:52:53+00:00,2026-08-27T17:36:44+00:00,CHIPUSDT,overheated_24h,LONG,1,0.04013,0.03748571428571429,0.045418571428571426,8.0,+0.5R,1,trail_stop,live_price,sl,-1.05132361,-0.08698001,0.9643436
28,5242,2026-08-27T15:30:46+00:00,2026-08-28T14:47:08+00:00,2026-08-28T06:13:32+00:00,NILUSDT,ema_cross_confirmed,SHORT,1,0.04325,0.046883103448275856,0.03598379310344828,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-0.33029613,0.66970387
30,5267,2026-08-27T16:01:13+00:00,2026-08-27T20:58:05+00:00,2026-08-27T20:58:05+00:00,SKRUSDT,overheated_24h,LONG,1,0.0089,0.008483910714285715,0.009732178571428572,8.0,+0.5R,1,tp,live_price,tp,2.0524441,2.0524441,0.0
31,5280,2026-08-27T16:02:53+00:00,2026-08-28T14:15:03+00:00,2026-08-28T07:39:49+00:00,2ZUSDT,ema_cross_confirmed,LONG,1,0.05802,0.0557198275862069,0.0626203448275862,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-0.56082752,0.43917248
33,5282,2026-08-27T16:06:16+00:00,2026-08-28T02:47:08+00:00,2026-08-28T02:47:08+00:00,USELESSUSDT,overheated_24h,LONG,1,0.07233,0.06693428571428572,0.08312142857142857,8.0,+0.5R,0,sl,live_price,sl,-1.00079428,-1.00079428,0.0
