id,strategy,direction,regime,regime_reason,cohort,prior_cohort_n,prior_cohort_wins,prior_cohort_losses,historical_wr_pct,filter_pass,filter_reason
3495,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,152,74,78,48.6842,yes,passes
3496,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,153,74,79,48.366,yes,passes
3501,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,57,49,8,85.9649,yes,passes
3521,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,155,76,79,49.0323,yes,passes
3522,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,155,76,79,49.0323,yes,passes
3524,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,155,76,79,49.0323,yes,passes
3526,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,155,76,79,49.0323,yes,passes
3545,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,157,78,79,49.6815,yes,passes
3561,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,159,79,80,49.6855,yes,passes
3562,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,159,79,80,49.6855,yes,passes
3566,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,159,79,80,49.6855,yes,passes
3567,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,159,79,80,49.6855,yes,passes
3568,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,159,79,80,49.6855,yes,passes
3569,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,160,80,80,50.0,yes,passes
3572,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,160,80,80,50.0,yes,passes
3573,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,160,80,80,50.0,yes,passes
3574,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,161,81,80,50.3106,yes,passes
3584,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,162,81,81,50.0,yes,passes
3585,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,162,81,81,50.0,yes,passes
3589,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,162,81,81,50.0,yes,passes
3590,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,162,81,81,50.0,yes,passes
3591,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,162,81,81,50.0,yes,passes
3593,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,162,81,81,50.0,yes,passes
3609,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,167,83,84,49.7006,yes,passes
3612,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,167,83,84,49.7006,yes,passes
3617,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,167,83,84,49.7006,yes,passes
3619,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,167,83,84,49.7006,yes,passes
3620,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,167,83,84,49.7006,yes,passes
3621,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,167,83,84,49.7006,yes,passes
3636,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,61,52,9,85.2459,yes,passes
3637,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,61,52,9,85.2459,yes,passes
3642,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,62,53,9,85.4839,yes,passes
3644,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,171,84,87,49.1228,yes,passes
3645,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,172,84,88,48.8372,yes,passes
3648,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3649,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3650,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3651,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3652,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3654,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3655,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3657,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3658,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3659,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3660,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,174,85,89,48.8506,yes,passes
3661,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,176,86,90,48.8636,yes,passes
3662,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,176,86,90,48.8636,yes,passes
3677,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,177,87,90,49.1525,yes,passes
3679,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,177,87,90,49.1525,yes,passes
3680,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,177,87,90,49.1525,yes,passes
3682,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,177,87,90,49.1525,yes,passes
3684,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,177,87,90,49.1525,yes,passes
3687,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,178,87,91,48.8764,yes,passes
3688,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,178,87,91,48.8764,yes,passes
3693,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3694,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3695,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3696,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3697,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3700,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3701,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3703,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3706,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3707,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3708,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3710,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3713,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3716,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3717,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,195,93,102,47.6923,yes,passes
3725,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,197,93,104,47.2081,yes,passes
3727,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,198,93,105,46.9697,yes,passes
3731,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,204,97,107,47.549,yes,passes
