strategy,step_pct,range_bucket,n,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_negative_n,trail_exit_n
oversold_24h,6.0,low,115,20.6,-9.008955,-29.608955,0.17913,-0.078339,-0.257469,41.7391,31.3043,36,79,39
oversold_24h,6.0,mid,154,2.0,-8.708875,-10.708875,0.012987,-0.056551,-0.069538,36.3636,34.4156,53,101,52
oversold_24h,8.0,all,478,49.0,3.733643,-45.266357,0.10251,0.007811,-0.094699,39.5397,37.2385,178,300,129
oversold_24h,8.0,high,209,26.4,19.274254,-7.125746,0.126316,0.092221,-0.034094,40.6699,41.1483,86,123,68
oversold_24h,8.0,low,115,20.6,-5.174263,-25.774263,0.17913,-0.044994,-0.224124,41.7391,33.913,39,76,23
oversold_24h,8.0,mid,154,2.0,-10.366348,-12.366348,0.012987,-0.067314,-0.080301,36.3636,34.4156,53,101,38
oversold_24h,10.0,all,478,49.0,14.183391,-34.816609,0.10251,0.029672,-0.072838,39.5397,37.0293,177,301,86
oversold_24h,10.0,high,209,26.4,22.383904,-4.016096,0.126316,0.1071,-0.019216,40.6699,39.7129,83,126,47
oversold_24h,10.0,low,115,20.6,1.264796,-19.335204,0.17913,0.010998,-0.168132,41.7391,35.6522,41,74,12
oversold_24h,10.0,mid,154,2.0,-9.46531,-11.46531,0.012987,-0.061463,-0.07445,36.3636,34.4156,53,101,27
