id,symbol,original_direction,tested_direction,entry,new_sl,new_tp,outcome,exit_ts,r,reason
1631,0GUSDT,LONG,SHORT,0.16,0.16231386138613862,0.15537227722772276,sl_first,1786623300,-1.0,stop_touch
1632,SKYAIUSDT,SHORT,LONG,0.07283,0.06678316831683169,0.08492366336633664,unresolved,1786707000,-0.08764920668707986,window_close
1633,NESUSDT,SHORT,LONG,0.1984,0.19705049504950495,0.20109900990099008,sl_first,1786620600,-1.0,stop_touch
1634,PTBUSDT,LONG,SHORT,0.0008912,0.0009162118811881188,0.0008411762376237624,tp_first,1786695300,1.0,target_touch
1635,STBLUSDT,LONG,SHORT,0.02348,0.02377673267326733,0.022886534653465344,tp_first,1786630500,1.0,target_touch
1636,OPGUSDT,SHORT,LONG,0.0914,0.09025742574257425,0.09368514851485148,sl_first,1786639500,-1.0,stop_touch
1637,NGUSDT,SHORT,LONG,2.834,2.8215247524752476,2.858950495049505,sl_first,1786621500,-1.0,stop_touch
1644,ELSAUSDT,LONG,SHORT,0.05173,0.05242188118811881,0.05034623762376238,sl_first,1786624200,-1.0,stop_touch
1645,TXNUSDT,SHORT,LONG,276.3,274.45148514851485,279.99702970297034,tp_first,1786628700,1.0,target_touch
1646,OPENAIUSDT,LONG,SHORT,1172.03,1179.0258415841583,1158.0383168316832,sl_first,1786628700,-1.0,stop_touch
1647,EPICUSDT,SHORT,LONG,0.3271,0.2906524752475248,0.3999950495049504,unresolved,1786709700,0.2963164185591652,window_close
1655,DRIFTUSDT,SHORT,LONG,0.01119,0.01099,0.011590000000000001,sl_first,1786694400,-1.0,stop_touch
1656,JPMUSDT,LONG,SHORT,367.68,369.059801980198,364.920396039604,tp_first,1786628700,1.0,target_touch
1659,MAGMAUSDT,SHORT,LONG,0.18548,0.18063,0.19518,sl_first,1786674600,-1.0,stop_touch
1660,ASTSUSDT,SHORT,LONG,73.32,72.48277227722771,74.99445544554456,sl_first,1786627800,-1.0,stop_touch
1661,RDWUSDT,SHORT,LONG,13.139,12.969237623762375,13.478524752475249,sl_first,1786627800,-1.0,stop_touch
1662,HOODXUSDT,LONG,SHORT,95.73,96.30524752475247,94.57950495049506,sl_first,1786627800,-1.0,stop_touch
1663,UBERUSDT,LONG,SHORT,76.0,76.57564356435644,74.84871287128712,tp_first,1786628700,1.0,target_touch
1664,ALGOUSDT,LONG,SHORT,0.08013,0.08076425742574259,0.07886148514851485,tp_first,1786637700,1.0,target_touch
1665,TERUSDT,SHORT,LONG,400.7,397.1841584158416,407.7316831683168,tp_first,1786628700,1.0,target_touch
1668,IONQUSDT,LONG,SHORT,46.75,47.23029702970297,45.789405940594065,sl_first,1786630500,-1.0,stop_touch
1670,SPCXUSDT,SHORT,LONG,142.5,140.87227722772278,145.75544554455445,sl_first,1786632300,-1.0,stop_touch
1671,TSMUSDT,LONG,SHORT,434.75,436.57257425742574,431.1048514851485,tp_first,1786650300,1.0,target_touch
1672,INTCUSDT,LONG,SHORT,105.98,106.88009900990099,104.17980198019804,sl_first,1786634100,-1.0,stop_touch
