id,ts_open,ts_open_utc,ts_close,ts_close_utc,symbol,direction,status,entry_price,sl_price,tp_price,exit_price,result_r,fix_cohort_by_close
3802,1787361578,2026-08-22T01:19:38+00:00,1787464325,2026-08-23T05:52:05+00:00,APRUSDT,LONG,sl,0.21434,0.19658214285714284,0.24985571428571432,0.19455,-1.1144362656369404,post_fix
3718,1787340962,2026-08-21T19:36:02+00:00,1787464857,2026-08-23T06:00:57+00:00,NILUSDT,LONG,sl,0.04628,0.04234142857142857,0.05415714285714286,0.0423,-1.0105186797243388,post_fix
3829,1787380494,2026-08-22T06:34:54+00:00,1787485954,2026-08-23T11:52:34+00:00,AAVEUSDT,LONG,tp,119.14,114.39571428571429,128.62857142857143,128.89,2.0551038843721763,post_fix
4071,1787422411,2026-08-22T18:13:31+00:00,1787491143,2026-08-23T13:19:03+00:00,STXUSDT,LONG,tp,0.218,0.2065357142857143,0.24092857142857144,0.242,2.0934579439252348,post_fix
3955,1787397753,2026-08-22T11:22:33+00:00,1787494173,2026-08-23T14:09:33+00:00,ZECUSDT,LONG,tp,781.03,735.5591071428571,871.9717857142857,871.9717857142857,2.0,post_fix
4019,1787414291,2026-08-22T15:58:11+00:00,1787495191,2026-08-23T14:26:31+00:00,TRUMPUSDT,LONG,tp,2.423,2.1876607142857143,2.8936785714285715,2.899,2.0226117307838223,post_fix
4289,1787489813,2026-08-23T12:56:53+00:00,1787496267,2026-08-23T14:44:27+00:00,FFUSDT,LONG,sl,0.08669,0.08296732142857143,0.09413535714285715,0.08296732142857143,-1.0,post_fix
2797,1787208073,2026-08-20T06:41:13+00:00,1787498248,2026-08-23T15:17:28+00:00,SKYAIUSDT,LONG,sl,0.07223,0.063875,0.08894,0.063875,-1.0,post_fix
3889,1787383375,2026-08-22T07:22:55+00:00,1787503499,2026-08-23T16:44:59+00:00,USELESSUSDT,LONG,tp,0.06441,0.06004928571428571,0.07313142857142857,0.07319,2.013431613431615,post_fix
3714,1787340881,2026-08-21T19:34:41+00:00,1787529874,2026-08-24T00:04:34+00:00,STABLEUSDT,LONG,sl,0.0322,0.030352857142857143,0.03589428571428571,0.03029,-1.0340293890177878,post_fix
3881,1787383204,2026-08-22T07:20:04+00:00,1787552891,2026-08-24T06:28:11+00:00,PROMUSDT,LONG,tp,2.814,2.5965535714285717,3.2488928571428572,3.541,3.3433522214010045,post_fix
3974,1787400477,2026-08-22T12:07:57+00:00,1787552891,2026-08-24T06:28:11+00:00,LITUSDT,LONG,tp,3.157,2.9219285714285714,3.6271428571428572,3.687,2.2546338498936485,post_fix
4170,1787462913,2026-08-23T05:28:33+00:00,1787552891,2026-08-24T06:28:11+00:00,TUTUSDT,LONG,tp,0.0586,0.05036108928571428,0.07507782142857142,0.07524,2.0196844676502397,post_fix
4360,1787523308,2026-08-23T22:15:08+00:00,1787553508,2026-08-24T06:38:28+00:00,UAIUSDT,LONG,tp,0.27951,0.25466517857142856,0.3291996428571428,0.3291996428571428,2.0,post_fix
4281,1787485723,2026-08-23T11:48:43+00:00,1787559792,2026-08-24T08:23:12+00:00,ZROUSDT,LONG,sl,1.223,1.135357142857143,1.3982857142857144,1.135,-1.004074979625103,post_fix
3647,1787318827,2026-08-21T13:27:07+00:00,1787565924,2026-08-24T10:05:24+00:00,BLESSUSDT,LONG,tp,0.008313,0.007649089285714285,0.009640821428571427,0.009641,2.0002689690416653,post_fix
4312,1787498628,2026-08-23T15:23:48+00:00,1787566737,2026-08-24T10:18:57+00:00,ENAUSDT,LONG,sl,0.17331,0.15793714285714286,0.20405571428571428,0.1577,-1.0154260756435272,post_fix
4399,1787569581,2026-08-24T11:06:21+00:00,1787571974,2026-08-24T11:46:14+00:00,TUTUSDT,LONG,sl,0.079014,0.06737426785714286,0.10229346428571429,0.067365,-1.0007962259809005,post_fix
4403,1787573328,2026-08-24T12:08:48+00:00,1787576070,2026-08-24T12:54:30+00:00,SUPERUSDT,LONG,tp,0.1149,0.109425,0.12585000000000002,0.1266,2.136986301369858,post_fix
4391,1787562277,2026-08-24T09:04:37+00:00,1787577867,2026-08-24T13:24:27+00:00,RATSUSDT,LONG,sl,4.745e-05,4.379214285714286e-05,5.4765714285714284e-05,4.289e-05,-1.2466315172817823,post_fix
4393,1787564085,2026-08-24T09:34:45+00:00,1787578477,2026-08-24T13:34:37+00:00,PTBUSDT,LONG,sl,0.0008769,0.00079275,0.0010452,0.0007877,-1.0600118835412957,post_fix
4371,1787553362,2026-08-24T06:36:02+00:00,1787579230,2026-08-24T13:47:10+00:00,SPKUSDT,LONG,sl,0.02229,0.020418214285714286,0.02603357142857143,0.020418214285714286,-1.0,post_fix
4373,1787553531,2026-08-24T06:38:51+00:00,1787586967,2026-08-24T15:56:07+00:00,AAVEUSDT,LONG,sl,141.72,133.08482142857142,158.99035714285714,133.08482142857142,-1.0,post_fix
4499,1787588987,2026-08-24T16:29:47+00:00,1787590440,2026-08-24T16:54:00+00:00,STORJUSDT,LONG,tp,0.04896,0.04481946428571428,0.057241071428571426,0.057241071428571426,2.0,post_fix
4369,1787553329,2026-08-24T06:35:29+00:00,1787590659,2026-08-24T16:57:39+00:00,LITUSDT,LONG,sl,3.64,3.305607142857143,4.308785714285714,3.286,-1.0586350528676716,post_fix
3764,1787359183,2026-08-22T00:39:43+00:00,1787625576,2026-08-25T02:39:36+00:00,BONKUSDT,LONG,tp,3.138e-06,3.0092142857142855e-06,3.3955714285714286e-06,3.3955714285714286e-06,2.0,post_fix
4406,1787574821,2026-08-24T12:33:41+00:00,1787627988,2026-08-25T03:19:48+00:00,PROMUSDT,LONG,tp,3.577,3.196160714285714,4.338678571428572,4.338678571428572,2.0,post_fix
4502,1787590185,2026-08-24T16:49:45+00:00,1787638589,2026-08-25T06:16:29+00:00,SUPERUSDT,LONG,sl,0.1221,0.11551607142857143,0.13526785714285713,0.1135,-1.3062110116625973,post_fix
4538,1787598191,2026-08-24T19:03:11+00:00,1787644821,2026-08-25T08:00:21+00:00,UAIUSDT,LONG,sl,0.36315,0.33137142857142854,0.42670714285714284,0.32483,-1.2058440098898615,post_fix
4402,1787572024,2026-08-24T11:47:04+00:00,1787676185,2026-08-25T16:43:05+00:00,ZAMAUSDT,LONG,sl,0.06202,0.05651875,0.0730225,0.05614,-1.0688479890933873,post_fix
4563,1787603602,2026-08-24T20:33:22+00:00,1787676185,2026-08-25T16:43:05+00:00,STORJUSDT,LONG,sl,0.04907,0.04412375,0.0589625,0.04407,-1.0108668182966905,post_fix
4702,1787635421,2026-08-25T05:23:41+00:00,1787676185,2026-08-25T16:43:05+00:00,CTRUSDT,LONG,sl,0.00899,0.00856732142857143,0.009835357142857142,0.0085,-1.1592733417828482,post_fix
4384,1787555440,2026-08-24T07:10:40+00:00,1787676257,2026-08-25T16:44:17+00:00,MORPHOUSDT,LONG,sl,2.7435,2.5482,3.1341,2.547,-1.0061443932411667,post_fix
4674,1787630619,2026-08-25T04:03:39+00:00,1787682545,2026-08-25T18:29:05+00:00,STARUSDT,LONG,tp,0.13767,0.12279267857142855,0.16742464285714287,0.17102,2.241666966739884,post_fix
4375,1787553658,2026-08-24T06:40:58+00:00,1787718733,2026-08-26T04:32:13+00:00,SCRTUSDT,LONG,sl,0.01943,0.015920535714285713,0.026448928571428568,0.01468,-1.3534829288149388,post_fix
4730,1787643227,2026-08-25T07:33:47+00:00,1787719532,2026-08-26T04:45:32+00:00,TACUSDT,LONG,tp,0.002491,0.0021592857142857143,0.0031544285714285715,0.0031544285714285715,1.9999999999999987,post_fix
4870,1787683171,2026-08-25T18:39:31+00:00,1787723768,2026-08-26T05:56:08+00:00,JASMYUSDT,LONG,sl,0.005172,0.004825553571428572,0.005864892857142858,0.004825553571428572,-1.0,post_fix
4711,1787637818,2026-08-25T06:03:38+00:00,1787723963,2026-08-26T05:59:23+00:00,PROMUSDT,LONG,sl,4.329,3.861267857142857,5.264464285714285,3.861267857142857,-1.0,post_fix
4018,1787414135,2026-08-22T15:55:35+00:00,1787725073,2026-08-26T06:17:53+00:00,CVXUSDT,LONG,sl,2.117,2.003589285714286,2.3438214285714283,2.003,-1.0051960321209261,post_fix
4383,1787555033,2026-08-24T07:03:53+00:00,1787726294,2026-08-26T06:38:14+00:00,GRASSUSDT,LONG,sl,0.3675,0.33579642857142855,0.4309071428571429,0.3352,-1.018812661935338,post_fix
4347,1787511270,2026-08-23T18:54:30+00:00,1787728565,2026-08-26T07:16:05+00:00,CYSUSDT,LONG,tp,0.6015,0.5452875,0.713925,0.718,2.07249277295975,post_fix
4880,1787719067,2026-08-26T04:37:47+00:00,1787740197,2026-08-26T10:29:57+00:00,BMTUSDT,LONG,tp,0.0223,0.020203214285714286,0.02649357142857143,0.02691,2.1986033043774484,post_fix
3839,1787380673,2026-08-22T06:37:53+00:00,1787740335,2026-08-26T10:32:15+00:00,PEPEUSDT,LONG,sl,3.996e-06,3.7903928571428576e-06,4.407214285714286e-06,3.789e-06,-1.0067743616466929,post_fix
2671,1787163200,2026-08-19T18:13:20+00:00,1787741470,2026-08-26T10:51:10+00:00,BRUSDT,LONG,tp,0.22981,0.20537928571428568,0.27867142857142857,0.28061,2.0793497646405283,post_fix
4628,1787623431,2026-08-25T02:03:51+00:00,1787758279,2026-08-26T15:31:19+00:00,VIRTUALUSDT,LONG,sl,0.8048,0.7435357142857142,0.9273285714285714,0.7299,-1.2225719948699996,post_fix
4710,1787637223,2026-08-25T05:53:43+00:00,1787758279,2026-08-26T15:31:19+00:00,ONGUSDT,LONG,tp,0.0851,0.06445732142857144,0.12638535714285712,0.16878,4.053737489078629,post_fix
4731,1787643230,2026-08-25T07:33:50+00:00,1787758279,2026-08-26T15:31:19+00:00,POLUSDT,LONG,sl,0.12283,0.1141975,0.140095,0.11263,-1.1815812337098175,post_fix
4869,1787683163,2026-08-25T18:39:23+00:00,1787758279,2026-08-26T15:31:19+00:00,ZROUSDT,LONG,sl,1.261,1.138642857142857,1.5057142857142858,1.133,-1.0461179217746637,post_fix
4991,1787745913,2026-08-26T12:05:13+00:00,1787758279,2026-08-26T15:31:19+00:00,BICOUSDT,LONG,tp,0.02289,0.021041785714285714,0.02658642857142857,0.0266,2.0073429951690804,post_fix
4993,1787746226,2026-08-26T12:10:26+00:00,1787758772,2026-08-26T15:39:32+00:00,TACUSDT,LONG,tp,0.003679,0.003158285714285714,0.004720428571428572,0.004720428571428572,2.0,post_fix
4626,1787623416,2026-08-25T02:03:36+00:00,1787759561,2026-08-26T15:52:41+00:00,AEROUSDT,LONG,sl,0.5389,0.5087017857142858,0.5992964285714286,0.5087017857142858,-1.0,post_fix
4937,1787740531,2026-08-26T10:35:31+00:00,1787759764,2026-08-26T15:56:04+00:00,BMTUSDT,LONG,sl,0.02615,0.02392142857142857,0.030607142857142857,0.02392142857142857,-1.0,post_fix
3017,1787227865,2026-08-20T12:11:05+00:00,1787830558,2026-08-27T11:35:58+00:00,CHIPUSDT,LONG,tp,0.03089,0.027820892857142857,0.03702821428571429,0.03718,2.049455984174083,post_fix
4992,1787746213,2026-08-26T12:10:13+00:00,1787830558,2026-08-27T11:35:58+00:00,BOBUSDT,LONG,sl,0.005647,0.005323535714285715,0.006293928571428572,0.004862,-2.4268521585513994,post_fix
5197,1787837467,2026-08-27T13:31:07+00:00,1787837556,2026-08-27T13:32:36+00:00,OKTAUSDT,LONG,sl,162.93,158.13964285714286,172.5107142857143,158.13964285714286,-1.0,post_fix
5161,1787832365,2026-08-27T12:06:05+00:00,1787839772,2026-08-27T14:09:32+00:00,MAGMAUSDT,LONG,tp,0.30416,0.2778017857142857,0.35687642857142854,0.35687642857142854,2.0,post_fix
