id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,trend_start_ts,trend_delay_hours,trend_delay_bucket
2949,1787221571,2026-08-20T10:26:11+00:00,SUSDT,LONG,overheated_24h,0.02449,0.023861607142857143,0.025746785714285715,tp_first,1787300100,2026-08-21T08:15:00+00:00,1.9999999999999944,target_touch,no,,,16.8167,below_50%,tp,1787299444,0.02579,74.14448669201528,rsi_lt_80,6,0,,,no_consecutive_trend
2955,1787223470,2026-08-20T10:57:50+00:00,WIFUSDT,LONG,overheated_24h,0.1568,0.15329107142857143,0.16381785714285713,tp_first,1787247000,2026-08-20T17:30:00+00:00,2.0,target_touch,no,,,15.3338,below_50%,tp,1787246974,0.16381785714285713,76.84729064039414,rsi_lt_80,7,0,,,no_consecutive_trend
2979,1787225739,2026-08-20T11:35:39+00:00,CROUSDT,LONG,overheated_24h,0.05306,0.052235000000000004,0.05471,tp_first,1787239800,2026-08-20T15:30:00+00:00,2.0,target_touch,no,,,15.2612,below_50%,tp,1787239806,0.05471,84.67741935483875,rsi_ge_80,7,3,1787209200,4.594166666666666,4-7.9h
2995,1787227524,2026-08-20T12:05:24+00:00,PENGUUSDT,LONG,overheated_24h,0.007209,0.007001035714285715,0.0076249285714285716,sl_first,1787233500,2026-08-20T13:45:00+00:00,-1.0,stop_touch,no,,,17.7796,below_50%,sl,1787233067,0.006977,76.07313195548488,rsi_lt_80,7,2,1787216400,3.09,0-3.9h
3003,1787227555,2026-08-20T12:05:55+00:00,BOMEUSDT,LONG,overheated_24h,0.0013229,0.001248623214285714,0.0014714535714285713,sl_first,1787228100,2026-08-20T12:15:00+00:00,-1.0,stop_touch,yes,1787225813,pump_24h_fade,76.8954,at_or_above_50%,sl,1787228125,0.001248623214285714,94.42078364565587,rsi_ge_80,10,3,1787212800,4.098611111111111,4-7.9h
3004,1787227561,2026-08-20T12:06:01+00:00,MONUSDT,LONG,overheated_24h,0.0268,0.025788035714285715,0.02882392857142857,sl_first,1787231700,2026-08-20T13:15:00+00:00,-1.0,stop_touch,no,,,24.5274,below_50%,sl,1787231715,0.025788035714285715,88.97637795275594,rsi_ge_80,10,3,1787212800,4.1002777777777775,4-7.9h
3005,1787227577,2026-08-20T12:06:17+00:00,AVAAIUSDT,LONG,overheated_24h,0.017394,0.015902035714285716,0.02037792857142857,tp_first,1787249700,2026-08-20T18:15:00+00:00,2.000000000000002,target_touch,yes,1787225813,pump_24h_fade,42.3053,below_50%,tp,1787249480,0.02037792857142857,78.42129139573568,rsi_lt_80,6,0,,,no_consecutive_trend
3007,1787227597,2026-08-20T12:06:37+00:00,INJUSDT,LONG,overheated_24h,4.879,4.730928571428571,5.175142857142856,sl_first,1787230800,2026-08-20T13:00:00+00:00,-1.0,stop_touch,no,,,15.5777,below_50%,sl,1787230544,4.716,75.57894736842107,rsi_lt_80,6,0,,,no_consecutive_trend
3009,1787227639,2026-08-20T12:07:19+00:00,MEGAUSDT,LONG,overheated_24h,0.0378,0.03640714285714286,0.04058571428571429,tp_first,1787313600,2026-08-21T12:00:00+00:00,2.000000000000005,target_touch,no,,,20.2151,below_50%,tp,1787312788,0.04067,70.45075125208686,rsi_lt_80,7,2,1787216400,3.1219444444444444,0-3.9h
3010,1787227722,2026-08-20T12:08:42+00:00,BIOUSDT,LONG,overheated_24h,0.03132,0.03004982142857143,0.03386035714285714,unresolved,1787314500,2026-08-21T12:15:00+00:00,0.7794179671024867,window_close,no,,,33.3597,below_50%,open,,,69.64705882352942,rsi_lt_80,8,0,,,no_consecutive_trend
