id,ts_open,symbol,direction,strategy,alert_type,is_shadow,status,ts_close,entry_price,sl_price,tp_price,exit_price,confirmation_level,rr_multiple,rr_multiple_observed,breakeven_wr_pct,result_r,outcome,trend_regime,regime_reason,btc_candle_ts,btc_close,btc_ema50,shadow_reason
3287,1787261434,DOSUSDT,SHORT,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787362186,0.2289,0.25536896551724136,0.17596206896551725,0.2572,1/3,2.0,2.0,33.333333333333336,-1.069176654507556,loss,bull,close_vs_ema50,1787241600,72644.6,65655.0649941423,
3310,1787265027,JASMYUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,tp,1787297368,0.003892,0.003761551724137931,0.004152896551724138,0.004155,1/3,2.0,2.000000000000003,33.333333333333336,2.016124768702088,win,bull,close_vs_ema50,1787241600,72644.6,65655.0649941423,
3331,1787267001,PEOPLEUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787267914,0.010518,0.010056375,0.01144125,0.010056375,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1787241600,72644.6,65655.0649941423,
3338,1787269516,DEXEUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787462600,1.951,1.858103448275862,2.136793103448276,1.845,1/3,2.0,2.0,33.333333333333336,-1.1410541945063102,loss,bull,close_vs_ema50,1787241600,72644.6,65655.0649941423,
3339,1787269519,龙虾USDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787340203,0.023891,0.022225196428571427,0.027222607142857142,0.021833,1/3,2.0,2.0,33.333333333333336,-1.2354397813153224,loss,bull,close_vs_ema50,1787241600,72644.6,65655.0649941423,
3340,1787270422,COREUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787414428,0.02532,0.024126964285714286,0.027706071428571424,0.02772,1/3,2.0,2.0,33.333333333333336,2.0116748989672257,win,bull,close_vs_ema50,1787256000,72994.5,65942.88597476417,
3352,1787290722,ENAUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787302093,0.12906,0.12408428571428572,0.1390114285714286,0.1390114285714286,1/3,2.0,2.0,33.333333333333336,2.0,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3358,1787290843,SPKUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787292036,0.01738,0.016926785714285714,0.01828642857142857,0.01828642857142857,1/3,2.0,2.0,33.333333333333336,2.0,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3371,1787291143,TURBOUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787300587,0.0009548,0.0009275803571428572,0.0010092392857142857,0.0010095,1/3,2.0,2.0,33.333333333333336,2.009578167027489,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3372,1787291145,WIFUSDT,LONG,overheated_confirmed,overheated_confirmed,1,tp,1787306545,0.1699,0.16485357142857143,0.17999285714285712,0.18,1/3,2.0,2.0,33.333333333333336,2.0014154281670233,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3383,1787291991,币安人生USDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,tp,1787302032,0.4867,0.4602136206896552,0.5396727586206896,0.54483,1/3,2.0,2.0,33.333333333333336,2.1947129624205046,win,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
3389,1787292943,SPKUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787292998,0.01836,0.017906785714285715,0.01903982142857143,0.01773,2/3,1.5,1.5,40.0,-1.3900709219858194,loss,bull,close_vs_ema50,1787270400,74482.7,66277.78064242048,
